title,runtime,budget,original_language,Year,Month,Genre
Daylight,115.0,80000000,en,1996,12,Action Adventure Thriller 
The Frighteners,110.0,30000000,en,1996,07,Horror Comedy 
Lone Star,135.0,5000000,en,1996,06,Drama Mystery Romance 
Harriet the Spy,100.0,12000000,en,1996,07,Comedy Drama Family 
Phenomenon,123.0,32000000,en,1996,07,Drama Fantasy Romance Science Fiction 
She's the One,96.0,3500000,en,1996,08,Comedy Romance 
A Time to Kill,149.0,40000000,en,1996,07,Crime Drama Thriller 
Alaska,109.0,23000000,en,1996,08,Adventure 
Fled,98.0,25000000,en,1996,07,Action Comedy Thriller 
Kazaam,93.0,20000000,en,1996,07,Fantasy Comedy Science Fiction Family 
Larger Than Life,93.0,30000000,en,1996,10,Family Comedy 
Joe's Apartment,78.0,13000000,en,1996,07,Fantasy Comedy Music 
The First Wives Club,102.0,26000000,en,1996,09,Comedy 
Ransom,117.0,80000000,en,1996,11,Action Thriller 
Chain Reaction,107.0,50000000,en,1996,08,Action Drama Science Fiction Thriller 
Matilda,98.0,36000000,en,1996,08,Comedy Family Fantasy 
Emma,121.0,6000000,en,1996,08,Drama Comedy Romance 
The Crow: City of Angels,84.0,13000000,en,1996,08,Action Fantasy Thriller 
Bordello of Blood,87.0,15000000,en,1996,08,Horror Comedy 
The Spitfire Grill,117.0,6000000,en,1996,08,Comedy Drama 
Escape from L.A.,97.0,50000000,en,1996,08,Action Adventure Science Fiction Thriller 
Basquiat,108.0,2962051,en,1996,08,Drama History 
Tin Cup,135.0,45000000,en,1996,08,Comedy Drama Romance 
Dingo,109.0,200000,en,1991,06,Drama Music 
The Godfather,175.0,6000000,en,1972,03,Drama Crime 
Police Story 3: Supercop,95.0,900000,cn,1992,07,Action Crime Thriller 
Manny & Lo,88.0,500000,en,1996,01,Drama Comedy 
Bound,108.0,4500000,en,1996,09,Crime Drama Romance Thriller 
Carpool,89.0,17000000,en,1996,08,Comedy Family 
Kansas City,116.0,18000000,en,1996,08,Thriller Drama Music Crime 
Gone Fishin',94.0,53000000,en,1997,05,Comedy Family 
The Relic,110.0,60000000,en,1997,01,Horror Mystery Thriller 
The Island of Dr. Moreau,96.0,40000000,en,1996,08,Fantasy Horror Science Fiction 
The Trigger Effect,94.0,8000000,en,1996,08,Drama Thriller 
Bogus,110.0,32000000,en,1996,09,Fantasy Comedy Family 
Bulletproof,84.0,25000000,en,1996,09,Action Adventure Comedy Thriller 
Halloween: The Curse of Michael Myers,88.0,5000000,en,1995,09,Horror Thriller 
For Whom the Bell Tolls,170.0,3000000,en,1943,07,Drama History Romance Thriller 
Singin' in the Rain,103.0,2540800,en,1952,04,Comedy Music Romance 
An American in Paris,113.0,2723903,en,1951,08,Drama Comedy Music Romance 
Breakfast at Tiffany's,110.0,2500000,en,1961,10,Comedy Drama Romance 
Vertigo,128.0,2479000,en,1958,05,Mystery Romance Thriller 
Rear Window,112.0,1000000,en,1954,08,Drama Mystery Thriller 
It Happened One Night,105.0,325000,en,1934,02,Comedy Romance 
Gaslight,114.0,2068000,en,1944,05,Drama Mystery Thriller Crime 
The Gay Divorcee,107.0,520000,en,1934,10,Comedy Music Romance 
North by Northwest,136.0,4000000,en,1959,07,Mystery Thriller 
The Apartment,125.0,3000000,en,1960,06,Comedy Drama Romance 
Some Like It Hot,122.0,2883848,en,1959,03,Comedy Romance 
Charade,113.0,4000000,en,1963,12,Comedy Mystery Romance Thriller 
Casablanca,102.0,878000,en,1942,11,Drama Romance 
The Maltese Falcon,100.0,375000,en,1941,11,Mystery Crime Thriller 
My Fair Lady,170.0,17000000,en,1964,10,Drama Family Music Romance 
Sabrina,113.0,2238813,en,1954,09,Comedy Drama Romance 
Roman Holiday,119.0,1500000,en,1953,09,Comedy Romance 
The Wizard of Oz,102.0,2777000,en,1939,08,Adventure Family Fantasy 
Gone with the Wind,238.0,4000000,en,1939,12,Drama Romance War 
Sunset Boulevard,110.0,1752000,en,1950,08,Drama 
Citizen Kane,119.0,839727,en,1941,04,Mystery Drama 
2001: A Space Odyssey,149.0,10500000,en,1968,04,Science Fiction Mystery Adventure 
All About Eve,138.0,1400000,en,1950,11,Drama 
The Women,133.0,1688000,en,1939,01,Comedy Drama 
Rebecca,130.0,1288000,en,1940,04,Drama Mystery 
Notorious,102.0,2000000,en,1946,08,Thriller Drama Romance 
Spellbound,111.0,1500000,en,1945,12,Drama Mystery Thriller 
To Catch a Thief,106.0,2500000,en,1955,08,Crime Drama Mystery Romance Thriller 
Ninotchka,110.0,1365000,en,1939,10,Comedy Romance 
The Adventures of Robin Hood,102.0,2033000,en,1938,05,Action Adventure Romance 
Laura,88.0,1020000,en,1944,10,Drama Mystery 
Lost Horizon,97.0,4000000,en,1937,09,Adventure Fantasy Drama Mystery 
Top Hat,101.0,609000,en,1935,09,Comedy Music Romance 
Giant,201.0,5400000,en,1956,10,Action Drama Western 
East of Eden,115.0,1,en,1955,03,Drama 
The Thin Man,93.0,226408,en,1934,05,Comedy Crime Mystery 
Around the World in Eighty Days,167.0,6000000,en,1956,10,Adventure Comedy Family Fantasy Romance 
It's a Wonderful Life,130.0,3180000,en,1946,12,Drama Family Fantasy 
Mr. Smith Goes to Washington,129.0,1500000,en,1939,10,Comedy Drama 
Bringing Up Baby,102.0,1073000,en,1938,02,Comedy Romance 
Night of the Living Dead,96.0,114000,en,1968,10,Horror 
The African Queen,105.0,1300000,en,1951,12,Adventure War Romance 
Beat the Devil,89.0,1000000,en,1953,11,Action Adventure Comedy Crime Drama Romance 
Cat on a Hot Tin Roof,108.0,3000000,en,1958,02,Drama Romance 
A Farewell to Arms,89.0,4,en,1932,12,Drama Romance War 
