Name,Year of release,Rating,Genre,votes
Mildred Pierce,1945.0,8.0,Crime Drama Film-Noir            ,"21,703"
Seabiscuit,2003.0,7.3,Drama History Sport            ,"65,038"
Spellbound,1945.0,7.6,Film-Noir Mystery Romance            ,"41,655"
Extremely Loud & Incredibly Close,2011.0,6.9,Adventure Drama Mystery            ,"96,011"
Reds,1981.0,7.3,Biography Drama History            ,"20,086"
An American in Paris,1951.0,7.2,Drama Musical Romance            ,"29,199"
The Good Earth,1937.0,7.5,Drama Romance            ,"4,377"
Secrets & Lies,1996.0,8.0,Comedy Drama            ,"35,721"
Quiz Show,1994.0,7.5,Biography Drama History            ,"63,055"
Suspicion,1941.0,7.4,Mystery Thriller            ,"31,047"
Ship of Fools,1965.0,7.1,Drama Romance War            ,"4,976"
A Place in the Sun,1951.0,7.8,Drama Romance            ,"19,210"
Broadcast News,1987.0,7.2,Comedy Drama Romance            ,"25,938"
Cries and Whispers,1972.0,8.1,Drama            ,"28,521"
Beasts of the Southern Wild,2012.0,7.3,Adventure Drama Fantasy            ,"79,465"
Z,1969.0,8.3,Crime Drama History            ,"22,889"
The Song of Bernadette,1943.0,7.6,Biography Drama            ,"5,921"
Picnic,1955.0,7.1,Drama Romance            ,"7,637"
The Thin Man,1934.0,8.0,Comedy Crime Mystery            ,"25,443"
The King and I,1956.0,7.4,Biography Drama Musical            ,"23,160"
Crossfire,1947.0,7.3,Crime Drama Film-Noir            ,"6,992"
"Good Night, and Good Luck.",2005.0,7.4,Biography Drama History            ,"92,558"
Mr. Smith Goes to Washington,1939.0,8.1,Comedy Drama            ,"103,254"
Marty,1955.0,7.7,Drama Romance            ,"20,580"
A Passage to India,1984.0,7.3,Adventure Drama History            ,"16,418"
Shine,1996.0,7.7,Biography Drama Music            ,"50,178"
The Prince of Tides,1991.0,6.7,Drama Romance            ,"15,583"
The Music Man,1962.0,7.7,Comedy Family Musical            ,"15,456"
The Lost Weekend,1945.0,7.9,Drama Film-Noir            ,"32,364"
Mutiny on the Bounty,1962.0,7.3,Adventure Drama History            ,"14,535"
Mrs. Miniver,1942.0,7.6,Drama Romance War            ,"15,244"
Atlantic City,1980.0,7.3,Crime Drama Romance            ,"14,412"
Doctor Dolittle,1967.0,6.2,Adventure Comedy Family            ,"8,276"
Miracle on 34th Street,1947.0,7.9,Comedy Drama Family            ,"38,811"
Places in the Heart,1984.0,7.4,Drama            ,"9,883"
How Green Was My Valley,1941.0,7.7,Drama Family            ,"20,397"
Darling,1965.0,7.1,Drama Romance            ,"5,801"
Quo Vadis,1951.0,7.2,Biography Drama History            ,"13,108"
The Greatest Show on Earth,1952.0,6.6,Drama Family Romance            ,"12,406"
Il postino,1994.0,7.7,Biography Comedy Drama            ,"32,402"
Lenny,1974.0,7.6,Biography Drama            ,"13,984"
Kiss of the Spider Woman,1985.0,7.4,Drama            ,"13,727"
Gigi,1958.0,6.7,Comedy Musical Romance            ,"18,897"
The Goodbye Girl,1977.0,7.4,Comedy Drama Romance            ,"12,068"
Prizzi's Honor,1985.0,6.7,Comedy Crime Drama            ,"22,084"
Julius Caesar,1953.0,7.3,Biography Drama History            ,"10,010"
Five Star Final,1931.0,7.3,Crime Drama            ,"1,709"
The Caine Mutiny,1954.0,7.7,Drama War            ,"23,678"
Sunrise,1927.0,8.1,Drama Romance            ,"45,588"
Missing,1982.0,7.7,Biography Drama History            ,"17,865"
Nicholas and Alexandra,1971.0,7.2,Biography Drama History            ,"4,218"
You Can't Take It with You,1938.0,7.9,Comedy Drama Romance            ,"22,437"
The Nun's Story,1959.0,7.6,Drama            ,"9,033"
Mister Roberts,1955.0,7.7,Comedy Drama War            ,"14,871"
Lost Horizon,1937.0,7.7,Adventure Drama Fantasy            ,"11,646"
Children of a Lesser God,1986.0,7.2,Drama Romance            ,"14,488"
Zorba the Greek,1964.0,7.7,Comedy Drama            ,"19,933"
Alfie,1966.0,7.0,Comedy Drama            ,"13,117"
A Star Is Born,1937.0,7.3,Drama Romance            ,"8,284"
