Drama,History,Horror,Metascore,Action,Musical,War,Thriller,Romance,Runtime,imdbRating,Documentary,Science,Fiction,France,Won
1,1,0,0.6969696969696971,1,0,0,0,0,0.3862433862433862,0.7051282051282051,0,0,0,0,0
0,1,0,0.5385858585858587,1,0,0,0,0,0.37566137566137564,0.7435897435897435,0,0,0,0,0
1,1,0,0.8989898989898991,1,0,0,1,0,0.3068783068783068,0.7692307692307692,0,0,0,1,0
0,0,1,0.7070707070707072,0,0,0,0,0,0.10052910052910052,0.6538461538461537,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,1,0.19576719576719576,0.7307692307692307,0,0,0,0,0
0,0,1,0.5385858585858587,0,0,0,1,0,0.7037037037037037,0.5256410256410255,0,1,1,0,0
0,0,0,0.6666666666666667,0,0,0,0,0,0.18518518518518517,0.7179487179487178,0,0,0,0,0
0,0,0,0.7070707070707072,0,0,0,1,0,0.253968253968254,0.6025641025641025,0,0,0,0,0
0,0,0,0.7272727272727274,1,0,0,0,0,0.43915343915343913,0.9230769230769229,0,1,1,0,0
0,0,0,0.5385858585858587,1,0,0,0,0,0.15873015873015872,0.6025641025641025,0,0,0,0,0
0,0,1,0.6464646464646465,0,0,0,0,0,0.19047619047619047,0.7692307692307692,0,0,0,0,0
0,0,0,0.6666666666666667,1,0,0,1,0,0.3068783068783068,0.7307692307692307,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,0,0,0.32804232804232797,0.5641025641025641,0,0,0,0,0
1,0,0,0.787878787878788,0,0,0,0,0,0.18518518518518517,0.7435897435897435,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,0,0,0.2275132275132275,0.5128205128205128,0,1,1,0,0
0,0,0,0.35353535353535354,0,0,0,1,0,0.24867724867724866,0.7179487179487178,0,1,1,0,0
1,0,0,0.8383838383838385,0,0,0,0,0,0.4232804232804233,0.846153846153846,0,0,0,0,0
0,0,0,0.42424242424242425,0,0,0,0,0,0.19576719576719576,0.4871794871794871,0,0,0,0,0
1,0,0,0.7474747474747476,0,0,0,0,0,0.19047619047619047,0.846153846153846,0,0,0,0,0
0,0,0,0.5050505050505052,1,0,0,1,0,0.3439153439153439,0.5641025641025641,0,0,0,0,0
0,0,0,0.33333333333333337,0,0,0,0,0,0.2751322751322752,0.4871794871794871,0,0,0,1,0
1,0,0,0.8282828282828284,0,0,0,0,0,0.39153439153439146,0.7307692307692307,0,1,1,0,0
1,0,0,0.5757575757575758,0,0,0,0,1,0.24338624338624332,0.6282051282051282,0,0,0,1,0
